Title,Genre,Series or Movie,Director,Writer,Actors,IMDb Score,Release Date,IMDb Link,Summary,Image
My Friend A,"Biography, Drama, Horror",Movie,Marc Meyers,"Marc Meyers, John Backderf","Ross Lynch, Zachary Davis Brown, Vincent Kartheiser, Lily Kozub",6.2,02 Mar 2018,https://www.imdb.com/title/tt2291540,An ex-journalist with a heavy conscience starts to suspect that his new friend might have committed a terrible crime as a child.,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTJBj7Un4bInLCahNS38m9z2H6pqsOztug9bXG92OoCkcNys2IeHJOPOPq0RMW6O8_i0YrFClFqhFafFvNZOKo5uDg.jpg?r=ce2
Intentions of Murder,Drama,Movie,Shôhei Imamura,"Keiji Hasebe, Shôhei Imamura, Shinji Fujiwara","Shigeru Tsuyuguchi, Yûko Kusunoki, Kô Nishimura, Masumi Harukawa",7.7,17 Nov 1964,https://www.imdb.com/title/tt0057829,Downtrodden housewife Sadako seizes an unlikely opportunity to escape her oppressive life after she is raped by a robber in her home.,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQgJiBKKt4nagsblwy2JurPMKV1d5zx8z-R-BHmsa3ClyUzzsAwJIZZFMdLDfvEZUPvz4_ZzLBxvEiYGSgV9C4WXLQ.jpg?r=584
Fuzjko Hemming: A Pianist of Silence & Solitude,Documentary,Movie,Sôichirô Komatsu,,"Ulf Hemming, Ingrid Fuzjko Hemming",,,https://www.imdb.com/title/tt7112164,"This documentary follows the dynamic pianist as she travels the world, playing sold-out concerts and reminiscing on her long, unconventional life.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVW-oeC7IALnCbCLW3zplGZbKwcKsd0n11FE2RjGxvbjyOCWaJ74HBKV6VuhXd3MMEwbH34wuyo4DATjvC1so4mdMQ.jpg?r=98a
The Insect Woman,Drama,Movie,Shôhei Imamura,"Shôhei Imamura, Keiji Hasebe","Setsuko Amamiya, Tomoko Aoyagi, Emiko Aizawa, Tomio Aoki",7.5,30 Jun 1964,https://www.imdb.com/title/tt0057363,"Peasant woman Tome struggles to make her way in life against the backdrop of Japans 20th century transformations, doing whatever it takes to survive.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT96BWpFd4_SY2vwKfDmC-Fap8tvCHs8kD6xR182R4pO6hXOTFYzn1NVZLh5Zs6Iyh10iFea69-s1qhLlkk4AjmK7Q.jpg?r=da1
Joker,"Crime, Drama, Thriller",Movie,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",8.4,04 Oct 2019,https://www.imdb.com/title/tt7286456,"In 1981 Gotham City, a struggling, mentally ill comic battles to be seen. His life takes a dark, gut-wrenching turn after he lashes back at attackers.",https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc3CMFhKOaUodYjPAVnvhCNMF2Hw9tHTfhQ6vWhvtwCIh7BTfws2r9wQt_kFRCOnRUgRKTV1iC2uXh23U6E-qkiM4w.jpg?r=190
The Governor,"Crime, Drama",Series,,,"Derek Martin, Ron Donachie, Janet McTeer, David J. Nicholls",7.5,14 May 1995,https://www.imdb.com/title/tt0111988,"When sudden tragedy forces a deputy to step into the role of governor, she faces grueling political and personal tests in order to lead her state.",https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVdRM51I3WICM5nzjJqFM6xQdDIh4qT69TqzlMifSJ2jJuupVWDrmDpLEEswsBVxDFpEgt75M4QZ73S8Bk0GlR4A2g.jpg?r=dfd
Word Party Songs,"Animation, Family",Series,,,,3.6,07 Aug 2020,https://www.imdb.com/title/tt12748268,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove!",https://occ-0-38-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcvD2uNPWGXdgmS-zffpPl3H2XOPW569G7VNH2sxSJWl_3fM0D7AewsidAgmeBBKfaxasGxBD3a2YGM1BtMowbekit2xkdM10uW4YevP9wsm-2XKEbvRLlVMT0Q.jpg?r=8d4
Work It,"Comedy, Music",Movie,Laura Terruso,Alison Peck,"Kalliane Brémault, Liza Koshy, Keiynan Lonsdale, Briana Andrade-Gomes",6.1,07 Aug 2020,https://www.imdb.com/title/tt10276470,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdvO5igQ9XvYB399fYm03NU2fBCLXM66wBle_K8pHi3-Lpnl3tWTQfG-UFaGPdOMqpZMr-An9sh4ifI-prPZb_heouIG6qnOwIyAmQ_mcnvy85WFatoeQjG-gKY.jpg?r=d32
Tiny Creatures,"Documentary, Drama, Family",Series,,,"Louis Labrom-Brown, Mike Colter",4.9,07 Aug 2020,https://www.imdb.com/title/tt12759334,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTojFPdHcFoHISYB4g_Ug5KdbNY1KUJY2lCvPqi2U7aSDOziCZkr5IAwaGveIldJ_rWO2fFeO-ISK7N1YsZX--g9O00xWkTrzY4LrVntgIRXTGj91Pt6DYXJg0Y.jpg?r=3c5
Sing On! Germany,"Game-Show, Music, Reality-TV",Series,,,Palina Rojinski,5.3,07 Aug 2020,https://www.imdb.com/title/tt12748264,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX4AsWoI-VznEEDJsm5M0mQHK31_HSIAHMXXn0wpmEU9OuOxmv6Jlp5TCdNHfg2YtF16tFZkHXC-oVosl5DAnwnefh83BzEdnx3ojzwxpDI7RUmr57j6wFe-gCE.jpg?r=ef3
