Title,Genre,Series or Movie,Director,Writer,Actors,IMDb Score,Release Date,IMDb Link,Summary,Image
Talentime,Drama,Movie,Yasmin Ahmad,Yasmin Ahmad,"Mahesh Jug al Kishor, Amelia Henderson, Kahoe Hon, Pamela Chong",6.8,26 Mar 2009,https://www.imdb.com/title/tt1351669,The stakes are high — on stage and off — when a group of talented young musicians face off for an inter-school talent competition.,https://occ-0-2705-2706.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABU92fUyjQE4siMPQ_YLK3Wuew2yDKDB496BfUcZsH169AQa0ZlxrdWMDmsDwizVQFgFmmzsQ5COfBGBdRPIpA-0JPMaadz4EDHTwRiYTiQsbdNM.jpg?r=9c1
The Guys,Drama,Movie,Jim Simpson,"Jim Simpson, Anne Nelson","Sigourney Weaver, Irene Walsh, Anthony LaPaglia, Jim Simpson",6.3,20 Nov 2003,https://www.imdb.com/title/tt0319470,Hapless office worker Alfi needs help from his pals when he unexpectedly falls for the daughter of his boss — a stern man with eyes for Alfis mom.,https://occ-0-2340-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRwhVOUd_1iH-SrE6Mttg_uq8-cRrmjcUcScgD9ErN4rlBM6t0EFiuFBnVZL-nHGVOiDUZ8KQ-qoBh_T-uPDRhFdVQ.jpg?r=fa2
Farewell Amor,"Drama, Music, Romance",Movie,Ekwa Msangi,Ekwa Msangi,"Jayme Lawson, Zainab Jah, Joie Lee, Ntare Guma Mbaho Mwine",6.9,11 Dec 2020,https://www.imdb.com/title/tt11380884,"Forced apart by war 17 years ago, an Angolan immigrant reunites with his wife and daughter in NYC. But they struggle to reconnect and get in step.",https://occ-0-1527-32.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABajyEAE1SX4e1VINkQv1zE8RszgK6RdhT_TZ2sAgthJfYd1pgyoRDTLyKS2PQnczHO2EOp8Zstwj1TLeDhQ3oUazYg.jpg?r=d2e
Schulz Saves America,Comedy,Series,,,Andrew Schulz,7.5,17 Dec 2020,https://www.imdb.com/title/tt13607518,Comedian Andrew Schulz takes on the years most divisive topics in this fearlessly unfiltered and irreverent four-part special.,https://occ-0-1081-1001.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeAvDdHqUgarosWdUcaczGuFZvMS5TtUfnTXMn9G8vUMCoFD7bfJE0hBoIYd2IDJhFWamggM-PW6A2lFMj2OaywVdwyHfcYR7bINhHu6wvItBPFP9SWpPoyttUw.jpg?r=7fa
An Unremarkable Christmas,"Comedy, Drama",Movie,Juan Camilo Pinzon,Dago García,"Aura Cristina Geithner, Julián Cerati, Mariana Gómez, Luis Eduardo Arango",3.6,17 Dec 2020,https://www.imdb.com/title/tt13607632,An accountant and aspiring magician invites his boss to spend Christmas with his family â€” unaware that hes one of Colombias most-wanted criminals.,https://occ-0-1081-1001.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWo7km66xioQ4TE8cghpOx43MS-86N-XmlXwzaVyS_QjM6IwrdwWtFU9V91jc2DyrH18aNsG1PEHJw-hPUPAQ6X8uxPXexOlhn5eAFFZ3A5Ycf5acsgixh_E5GI.jpg?r=12b
Tornado,"Action, Drama, Thriller",Series,Andreas Linke,"Stephan Lacant, Don Bohlinger","Mina Tander, Matthias Koeberlin, Lisa Martinek, Sascha Göpel",5.0,04 Sep 2006,https://www.imdb.com/title/tt0478300,"Convinced a twister is about to strike, a meteorologist struggles to convince others to prepare for the looming disaster.",https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZZhEG_a6ssUbU1TEt95nKGfnSZF_3BttKP7-_Xs8PyXC7Wxvauf8vFM9CLhWpBNx7ipszO8FdTDG80MeA4uc7Tcsg.jpg?r=f5b
Rundfunk: Jachterwachter,Comedy,Movie,Rob Lücker,"Yannick van de Velde, Tom van Kalmthout","Annemieke Bakker, Gilles Biesheuvel, Pierre Bokma, Peter Bolhuis",5.8,08 Jun 2020,https://www.imdb.com/title/tt10699348,The harried manager of a rundown RV park gets pulled into chaos after a troubled former child star arrives with problems in tow.,https://occ-0-3907-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQE_fU2VHO1PuLxR49DvdpSIlQn0ITMTSdCOH0deTv1xU5nKn5nQq6bmle1wdElU65-mWGIgoE8dIc7b4TrMBGpT8w.jpg?r=ac7
Run On,Comedy,Series,Joseph Davis,"Timothy Ratajczak, Tommy Blaze, Sean Paul Murphy, David A.R. White, Brad Stine","Brad Stine, Tommy Blaze, David A.R. White",5.5,24 Feb 2011,https://www.imdb.com/title/tt1730342,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life.",https://occ-0-1222-1001.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXecTGxamq7Q148Hy7JYZ7L5uIZTQPA4AvQ4td63-omOoYvLM81hiEP9tdx-IdtZSCItEBYMPxMUPPdeN-Llm5oOavX5WE_YPLljmirmB3-C0T1wtwidwfZf7xXOt3_NQ9L9a-kT3apKUqsf_v-5z9dU05jIZjlNqzwursU.jpg?r=181
Love You to the Stars and Back,"Adventure, Comedy, Drama, Romance",Movie,Antoinette Jadaone,Antoinette Jadaone,"Joshua Garcia, Julia Barretto, Ariel Rivera, Cherry Pie Picache",7.6,08 Sep 2017,https://www.imdb.com/title/tt7127344,"In search of aliens, a young womans road trip becomes an emotional journey when she finds — and falls for — a charming companion with cancer.",https://occ-0-2579-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABby0X_k4lNwjxHVjStCoRXGpsdEhXpHeqpF5BKeamwLITxD-fP8Z_6dgWI3H49FzNPIY1wGc34fUVbWZ5dcz9N4iZA.jpg?r=d1f
Sakaling Maging Tayo,"Comedy, Romance",Movie,Jaime Habac Jr.,"Kristin Parreño Barrameda, Jaime Habac Jr.","Bembol Roco, McCoy De Leon, Elisse Joson, Chai Fonacier",7.1,16 Jan 2019,https://www.imdb.com/title/tt9389622,"A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance.",https://occ-0-2705-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTeZBw_5kgTCfrPBRzAuCYvfvnVEiyx1jCIHH6X_LE0rUIEUy5pold-_2semZU3tH8rD000lylKgOQuUGCPRvU23qQ.jpg?r=5c8
Eggnoid: Love & Time Portal,"Drama, Fantasy, Romance, Sci-Fi",Movie,Naya Anindita,"Archie The RedCat, Yemima Krisantina, Naya Anindita, Indriani Agustina, Nurita Anandia W.","Kevin Julio, Sheila Dara Aisha, Luna Maya, Morgan Oey",6.3,05 Dec 2019,https://www.imdb.com/title/tt10640262,"Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates.",https://occ-0-2705-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRZ5t0JMh2CjUWMZnqFI9yvPMhhA-bzyUeWg0mujyn9EoyiOfHhueMRLcTCG8y33Qza93PtqmdAZunRlyNaDoHbOUg.jpg?r=57d
Public Disturbance,Comedy,Movie,Danny Lee,"Dan Ahdoot, Don DeLeon, Tommy Honton","Jai Brooks, Beau Brooks, Daniel Sahyounie, Luke Brooks",3.0,28 Aug 2018,https://www.imdb.com/title/tt3766382,"In the feature film spinoff of their viral prank videos, Australian comedy troupe The Janoskians hit bumps in the road on their way to a big break in LA.",https://occ-0-22-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdispmGx_dbojpr3w86Za2AG3VY_z-2rZ1qIBNuF2hx9f3CturYIPWAUk_PNeV9NVGZPCe3RegxUvpi8PR80iEhlYw.jpg?r=18f
Nemesis,"Action, Sci-Fi, Thriller",Movie,Albert Pyun,Rebecca Charles,"Cary-Hiroyuki Tagawa, Olivier Gruner, Tim Thomerson, Merle Kennedy",5.4,26 Dec 1992,https://www.imdb.com/title/tt0107668,"After a tragic loss, Manop sets out to exact revenge in the criminal underworld â€” under the influence of his ruthless, vigilante alter ego.",https://occ-0-1214-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWnV5PnUKrhZRYk-yWgINSzPr0J48X9x9eBb1fwQ8njStsfFh_07kg1t-N7OekBAxAUDwlJJcLDCbJo_bqMoqXRhgg.jpg?r=fff
The Stand-In,Drama,Movie,Roberto Monticello,Robbie Bryan,"Daniel Margotta, David Ogden Stiers, Judith Ivey, Robbie Bryan",5.9,,https://www.imdb.com/title/tt0234793,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.",https://occ-0-1214-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXWx9S5rx48wzgGuwq63qWRXd5yhVna_07MSzpBDmQ3LSmLNDDVQcRu59StDDaZjfRZAW6U4dSuiA9TyBT4wrYHsua9V6CR5Z_AeSzMUO5ihb_qYqZSg2OgVh7w.jpg?r=f2a
The Ripper,Thriller,Series,Janet Meyers,Robert Rodat,"Michael York, Gabrielle Anwar, Patrick Bergin, Samuel West",5.8,06 Dec 1997,https://www.imdb.com/title/tt0120023,"In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper.",https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYnqxvK2dgCofdYeZ6MrTB_2cRlKbk-BazGKMzDE71ewoqq4GDnPFK-AU8KE67V8nPN8K1YQvh4yfSTwprYzHehA9eGws2Dn4VvH-ElSPdEmJYoA0CsgaC1nx2s.jpg?r=88f
How To Ruin Christmas,"Comedy, Drama",Series,,,"Yonda Thomas, Busi Lurayi, Nambitha Ben-Mazwi, Thando Thabethe",6.0,16 Dec 2020,https://www.imdb.com/title/tt13492362,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sisters picture-perfect Christmas wedding.,https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbJjTEeemsaDBLUOKUUHOprvJkcySKt1Q_SRR73CXsI51MZiOYpalLNTbU9Is9KaflBMvcSMNYvhtiZlkrQvXaxgGfGppAeVTgkz_08ogMnkLtJp7-v6QpODpL0.jpg?r=3a3
Spiral,"Crime, Drama, Mystery",Movie,,"Alexandra Clert, Guy-Patrick Sainderichin","Thierry Godard, Audrey Fleurot, Caroline Proust, Philippe Duclos",8.5,13 Dec 2005,https://www.imdb.com/title/tt0477507,"In an exclusive club for high-stakes extreme sports contests, a thriving tech whiz must figure out who wants to permanently end his winning streak.",https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABb69VGvtK4n2kqa9GSTX2RnmJO0DEzjTvT1cK9StPlG65G7pWMdzV4GKourP2PbsHiGU94SDKyPNLnggG5I-ilraUlLpTlUAeuyDEgd7HQyjqLY.jpg?r=d04
Women vs. Men,Comedy,Movie,Chazz Palminteri,David J. Burke,"Darryl Armbruster, Jennifer Coolidge, Dayton Callie, Elle Alexander",5.4,04 Aug 2002,https://www.imdb.com/title/tt0290018,Three husbands team up to battle their wives in a series of wild antics and hijinks when a major quarrel fractures their joint honeymoon in Cuba.,https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABaVPc4ONpQ1Smijp9TovjR65PJZQrEK0Z9-i6lbi2fkDSR6CFDvDqVb_kLk8bhhs4IVfsNtwdkm625JIDdyC1fZhuk3YoOGAfFJ8msRe1dGDOPw.jpg?r=422
The House Elf,"Comedy, Family, Fantasy",Movie,Evgeniy Bedarev,"Evgeniy Bedarev, Dmitriy Bedarev","Mikhail Bespalov, Anastasiya Abadzhidi, Dmitriy Bedarev, Dmitriy Belotzerkovskiy",5.3,11 Apr 2019,https://www.imdb.com/title/tt9875852,"Bullied by a magical, mischievous and messy elf squatting in their new home, a mother and her young daughter decide to put up a fight.",https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABU-JlXDsBA4nkmUHjrMfimPllK5I3YB-FDkJYCPPoawdo29vmByT8y6ZJ7dLNsfLS77RUJ-oujO0TtjKMAjXVNKaxvT7p53IqJT4A4OSbtPTzyk.jpg?r=d28
Double Trouble,"Action, Comedy",Movie,Enzo Barboni,Marco Barboni,"Terence Hill, Harold Bergman, Bud Spencer, April Clough",7.2,16 Nov 1984,https://www.imdb.com/title/tt0087481,"The freewheeling ways of a radio host halt when he houses his long-lost daughter and her devilish kid, much to the dismay of his socialite girlfriend.",https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABay3zm5Ol3pyjl1yb4NFDO88k_jKh66-qwVXHOdPx2ckW6HfUHjkp8vBRpZ3kGxGJK9IQ9jhxBWqLh4z0DP_Q0vNyw.jpg?r=850
The Final,"Drama, Horror, Thriller",Movie,Joey Stewart,Jason Kabolati,"Whitney Hoy, Jascha Washington, Justin Arnold, Marc Donato",5.4,07 Feb 2013,https://www.imdb.com/title/tt1390535,"Custard slices send the chefs scrambling, walnut whirls have them in a twirl, then dessert towers push them to new heights. Whose bakes take the cake?",https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTdjKHUl3EC8ls7S_E_bZ5_Bdt49mC8AJYXU93Pdrk5ume73IOFRwrlvxpdJjj9fLAwtyxVtmzgxo2XJ_wUWgGD1uJH9JvxSqcs6fHwD4AWDdf2HKjrevBPObO0.jpg?r=647
Teen Mom 2,"Documentary, Reality-TV",Series,,,"Leah Messer, Kailyn Lowry, Jenelle Evans, Chelsea DeBoer",4.3,11 Jan 2011,https://www.imdb.com/title/tt1821220,"The highs and lows of new parenting and adulting create drama and heartbreak as life moves on for the cast of ""16 and Pregnant"" Season 2.",https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeG9-9IQ1HX_-vsXzBSBPdQim1ZY9CWO9NqugYFoIZLCEmarhhXcxdNl8bDNWuzOMN04lTZjJ0YbNfPhDVs1dZp-TncUWokNtAmXkN2SFNKapl-GJk8mIFY-yjIM5U81.jpg?r=0cd
The Challenge,"Adventure, Comedy, Family",Series,Craig Shapiro,"Michael Swerdlick, Elizabeth Kruger","Ashley Olsen, Brian Skala, Lukas Behnken, Mary-Kate Olsen",5.3,18 May 2005,https://www.imdb.com/title/tt0365043,Reality show alumni must compete in grueling physical contests and survive eliminations amid cutthroat alliances and steamy hookups to win big money.,https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZQPnsMXjWhXpfwLOZ_cawzv2aJJcd_oR5BpZlECe-aZjEvd1w0hw3HzNPtZTo3V9ntjP3WRmg50u5E02QamDaUsGQ.jpg?r=dfc
Black Ink Crew New York,Reality-TV,Series,,,"Dutchess Lattimore, Kevin Laroy, Ashley Nicole Bermudez, Ceaser Emanuel",4.7,01 Dec 2012,https://www.imdb.com/title/tt2738096,"At a Black-owned-and-operated hotspot for ink in Harlem, tattoo king Ceaser looks to expand his empire while working with a rambunctious crew.",https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaVauaKb2DqyqEfaS1h5W3Mo7vi9MChP-jpYBTGNpW1zNGyBtp-ky94w-qCwNp85EVZr9c74Huqh-fUyyZcnw1oWlQ.jpg?r=5b2
Grizzlies,"Biography, Drama",Movie,Miranda de Pencier,"Moira Walley-Beckett, Graham Yost","Seth Burke, Mary Buscemi, Jack Anawak, Fred Bailey",7.5,31 Jul 2020,https://www.imdb.com/title/tt6365796,A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.,https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTM6spozZID1KiwOsqQudg3Ci0VS1BYOOWWCy5h2di-0SrurAadakTz30l_y61mFnquWHUQxU2-2SDKO08oYqtqfHg.jpg?r=5bb
The Sound of Your Heart,Comedy,Series,,,"Kim Byeong-Ok, Kwang-Soo Lee, Dae-Myung Kim, Jung So-Min",8.3,07 Nov 2016,https://www.imdb.com/title/tt4613520,"In the uproarious life of Cho Seoks family, theres never a quiet day in a household of mischievous personalities and everyday absurdity.",https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUxzrVniwpxcaGWLwjvggeM1Jdjc43dxI_1hyrfYox12IIM6ofThEc6HDXlbxGcXJ2FLGW6DO1iPdrzRWzSDIs2AtQ.jpg?r=5e6
Living in the Futures Past,"Documentary, Biography",Movie,Helen Iles,Helen Iles,,,22 Jan 2013,https://www.imdb.com/title/tt2644548,"Narrated by Oscar winner Jeff Bridges, this documentary explores the impact of human culture on the environment and where this could take the world.",https://occ-0-2856-3851.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABawE2iRexFNthcKLV82NsSaayspuuTrlS7tZig6ZZs-IVRtbZmj4i201QeBnKVN26vsURYcTZiNdHLxYkRh3jaoiJNcY_WApuHDmkYHCqQEpZfc.jpg?r=144
A Road To Wellbeing,Documentary,Movie,Juan Maria Stadler,,,5.9,18 Jul 2020,https://www.imdb.com/title/tt12749428,"A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world.""",https://occ-0-2856-3851.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABaIggrRlWtsOAXRoS64M7thh71xfOI6BSyDEEjirSZWtXwKYWj8fMT1fPF-qy6aLtc2hQNbL8htbN865Y0c6zFNnvWBE6AFZrtLWc2CjLrUKW0E.jpg?r=2ee
Fat Pizza,"Action, Adventure, Comedy, Crime, Thriller",Movie,Paul Fenech,"Tahir Bilgic, Paul Fenech","Tahir Bilgic, Paul Fenech, Bill Bentley, Rob Shehadie",5.8,10 Apr 2003,https://www.imdb.com/title/tt0340110,The owner of a sketchy pizza place awaits the arrival of his mail-order bride while dealing with a competitor in this comedy based on the TV series.,https://occ-0-3222-2568.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYXwJ0b1Z6H-kvtbmCUvCU3sxGgZ15csz68B0IUY-L5gWYMtxj9fRtGJ77plui7q_zmFORdGlIp-hS_OogUCgJjoDA.jpg?r=63c
BoyTown,"Comedy, Music",Movie,Kevin Carlin,"Mick Molloy, Richard Molloy","Mick Molloy, Glenn Robbins, Bob Franklin, Wayne Hope",5.4,19 Oct 2006,https://www.imdb.com/title/tt0472615,Members of a 1980s boy band try to recapture some of their former glory as middle-aged rockers with expectedly dubious results in this musical comedy.,https://occ-0-3222-2568.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdDhCwB1OiMkkw9nFJYTu-TTNiPiOjTAtdgNXetaEcL2QB98PJzJqNsea0P05hZ0fZ16Gw2diwxuSmgrdIx_xt5Lkw.jpg?r=f94
OHA Diyorum,Comedy,Movie,Ersan Özer,Ersan Özer,"Bahar Sahin, Melih Abuaf, Firat Sobutay, Alper Rende",1.9,03 Nov 2017,https://www.imdb.com/title/tt7535868,"Fırat embarks on misadventures in search of his stolen car, which contains a hard disk of his daughters family photos and videos.",https://occ-0-1489-3466.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABbL2PKDKvlIEY2qdfi5Gp4tYtRCu9dYSitkamFsPIHVowwTowSEmNcruwPnsXnqrY-yHhCpWo7Om_h1oyFpabbe9d5w3L42ANDz4PkLN3rbYN4s.jpg?r=6ef
Debt Fees,Comedy,Movie,Efe Hizir,"Hasan Karakus, Hande Turan","Melisa Akman, Oguzhan Ugur, Esra Kucur, Burak Topaloglu",1.4,18 Jan 2019,https://www.imdb.com/title/tt9364684,"After his engagement falls through, Murat finds himself knee deep in debt and accepts an enticing, ghastly offer from his boss at the TV station.",https://occ-0-1489-3466.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcuXrdxTLlmhJC-K6lpJUR6NJzUz90uWPoIp8fx6y2Hyj3x4c2KvwgBkTaIA754WXlDxhZ9iLtvXz-F5MNxDbjCqkA.jpg?r=de5
Hindenburg,"Documentary, History",Series,Sean Grundy,Tony Mulholland,"John Shrapnel, Malcolm Tierney, Mark McGann, William Roberts",6.8,17 Sep 2007,https://www.imdb.com/title/tt1046932,The designer of the airship Hindenburg and the daughter of a corrupt oil tycoon find themselves in a race to uncover what may be a deadly conspiracy.,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRLMLlfKuO2EeSK_5Dfbd1WJxBUDcmlAHYVOkuwPYABdO0RCDdrA1uINSLnwOjp84mjHRL4fYO2fTdHTjO4mRMHLNw.jpg?r=c1f
Ranczo,Comedy,Series,,,"Ilona Ostrowska, Pawel Królikowski, Cezary Zak, Piotr Pregowski",6.9,05 Mar 2006,https://www.imdb.com/title/tt0831833,"After inheriting a small manor house in Wilkowyje, a young American of Polish descent decides to move to Poland to start a new chapter in her life.",https://occ-0-3563-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRBK5G-Wlzl4APEdiK1HiYMBtGiw2oZJwJDzuSrvJxAobj_dKRAlrUPp9YjQh93Tj2x69i9di0FpElAn_aK585isow.jpg?r=0f4
Silent Night,"Comedy, Horror, Mystery, Thriller",Movie,Steven C. Miller,Jayson Rothwell,"Malcolm McDowell, Donal Logue, Jaime King, Rick Skene",5.2,04 Dec 2012,https://www.imdb.com/title/tt2347497,"After a few years working abroad, Adam returns to his rural roots in Poland for Christmas â€“ but hes got a hidden agenda his family knows nothing about.",https://occ-0-3563-2706.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABYm0_iWhBzZZ8uPmAFQcDaQ8t-s2wKKD7gt4oi1aUGzZtAYSCa65v6JyAFytBB0AOPzU1BxKy2AOY3I86k0SJ1gI9jyXvOI74nJcbIn2d82e4_o.jpg?r=08e
Peanut Butter Sandwich,"Short, Drama, Family",Series,William Ellis,William Ellis,William Ellis,,,https://www.imdb.com/title/tt2388727,"When four women in their 20s decide to get serious about marriage, a secret government organization steps in to help guide them towards matrimony.",https://occ-0-4401-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVB-2sAACiTiP7mNdXw7NZZdIjMzG0c6COp2xLdAcGT8aRSboRlfyTmG8J3yEtAnrXp2zuLx6Ar0jGFllMi5tzMaEg.jpg?r=80b
The House Where the Mermaid Sleeps,Drama,Movie,Yukihiko Tsutsumi,"Keigo Higashino, Eriko Shinozaki","Hidetoshi Nishijima, Kentarô Sakaguchi, Ryôko Shinohara, Rina Kawaei",6.5,16 Nov 2018,https://www.imdb.com/title/tt7935980,"After their daughter is declared brain dead, a divorcing couple wrestle with keeping her alive in hopes a technological breakthrough can revive her.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV78-26ylA_KwIUjIPsX6_ZiXLGw-GIlHQgGqnmAw5dNwRcsy_L4ax-HvOuolh5GmsnJtDnhxcPyICEhRCJZKZt3aA.jpg?r=f7c
Bwakaw,Drama,Movie,Jun Lana,Jun Lana,"Bibeth Orteza, Rez Cortez, Eddie Garcia, Princess",6.9,05 Sep 2012,https://www.imdb.com/title/tt2244376,"Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality.",https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdVr0Hc6gKlUD6ZOYcrKpFdpUZwfcf408-6VFve0oLK9XywAL-rClOBOOd38wlC6QPsPF7aiRMirhz6ffW9J09KcDw.jpg?r=d58
Pound for Pound,"Biography, Drama",Movie,Mikkel Serup,"Mikkel Serup, Søren Felbo, Linn-Jeanethe Kyed","Mikkel Boe Følsgaard, Lene Maria Christensen, Kristian Fjord, Arnold Oceng",6.6,15 Jun 2017,https://www.imdb.com/title/tt5822676,"Broke, aging fighter JÃ¸rgen Hansen is inspired by fellow boxer Ayub Kalule to pursue an unlikely championship in this fact-based sports drama.",https://occ-0-318-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSpd-hRFoPJQcRYJqHEVUDdr7XZpSzDv-kR3WO-83EWgfJF4u7uX4nRF_Qkzp1ELzVdskCEm1Y_bpPI4iiJefJZilg.jpg?r=c61
Anti,Drama,Movie,Morten Boesdal Halvorsen,Jannik Tai Mosholt,"Oscar Dyekjær Giese, Theis Monrad Post, Casper Kjær Jensen, Stefan Hjort",4.6,10 Nov 2016,https://www.imdb.com/title/tt5240378,Simon believes that his artistic skills are useless until he discovers the graffiti subculture and joins a crew of street artists in 1991 Copenhagen.,https://occ-0-318-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSzjGeexZixvYqsg8IbAiBY8hCFa3HHmAAg63KZzQD0mQYTFiUN13WzyAFeLbugk_QjWhKtdPzeA8nAjU3berqhALw.jpg?r=f5b
Applaus,"Animation, Short",Movie,"Pierre Leterme, Jan Hintjens",Pierre Leterme,,,,https://www.imdb.com/title/tt0421630,"After a long stint in rehab, a legendary actress must prove to her two young sons, her ex-husband -- and to herself -- that shes truly reformed.",https://occ-0-318-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABevHkv6Ic4Sb0sfR4k5QsuMtGUWK054Mn4B698OvDz6HjSszFEQLipJmcIaWOsqdbDy4H_FhpiocXwx-vqgsJzG3sw.jpg?r=13a
Georgetown,"Biography, Crime, Drama",Movie,Christoph Waltz,David Auburn,"Corey Hawkins, Annette Bening, Christoph Waltz, Vanessa Redgrave",5.8,17 Dec 2020,https://www.imdb.com/title/tt4669252,An eccentric social climber becomes the main suspect when his much-older and connected wife dies under mysterious circumstances. Based on a true story.,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABZUPH7LBSGjseDEoyufkTI9Ja4CC1c_fu6GMgHkVRa2xwvtWr29gHXz29z7CkcA0gGcBDcvNffqe0VgQ4Yvw3aPqYe_pY6bX0Ogr0Mb7jw8JL-4.jpg?r=243
Tiny Pretty Things,"Drama, Mystery, Thriller",Series,,,"Kylie Jefferson, Brennan Clost, Barton Cowperthwaite, Damon J. Gillespie",5.8,14 Dec 2020,https://www.imdb.com/title/tt10767748,"When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal â€” and cutthroat competition.",https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeSh4_iRWsa9KDHEA2B1udPmLJBryK3sMXumep1G8rHY1bl1ULf8-C2qP836iXPpDssumH-CKV7MUhLeu3Ispr08MFl6acQ584UE2fJjHh7CSJeCKsh79J1YvTEUSWL8HJATcAxWumih66Sqa2LCPwX3fOm5OoVoT_-8zSAOu3sPMlZr7sBFvQ.jpg?r=62b
